           #Time            Temp             Kin       Potencial           E_tot        Pressure
  0.00000000E+00  0.30464565E+03  0.37994462E+01  0.90205718E+00  0.47015034E+01  0.20538599E+09
  0.73971514E-03  0.30283588E+03  0.37768754E+01  0.87819533E+00  0.46550707E+01  0.20538599E+09
  0.14794303E-02  0.30178869E+03  0.37638151E+01  0.93812380E+00  0.47019389E+01  0.20538599E+09
  0.22191454E-02  0.29865197E+03  0.37246950E+01  0.89601068E+00  0.46207057E+01  0.20538599E+09
  0.29588605E-02  0.30827007E+03  0.38446489E+01  0.90302175E+00  0.47476706E+01  0.20538599E+09
  0.36985757E-02  0.29853759E+03  0.37232685E+01  0.85040308E+00  0.45736715E+01  0.20538599E+09
  0.44382908E-02  0.29191534E+03  0.36406778E+01  0.91328530E+00  0.45539631E+01  0.20538599E+09
  0.51780059E-02  0.29626434E+03  0.36949172E+01  0.92331443E+00  0.46182316E+01  0.20538599E+09
  0.59177211E-02  0.29842550E+03  0.37218704E+01  0.90381570E+00  0.46256861E+01  0.20538599E+09
  0.66574362E-02  0.29968519E+03  0.37375810E+01  0.91651269E+00  0.46540937E+01  0.20538599E+09
  0.73971514E-02  0.29483685E+03  0.36771140E+01  0.92365604E+00  0.46007700E+01  0.20538599E+09
  0.81368665E-02  0.29085654E+03  0.36274727E+01  0.90836861E+00  0.45358413E+01  0.20538599E+09
  0.88765816E-02  0.29287099E+03  0.36525964E+01  0.93118597E+00  0.45837824E+01  0.20538599E+09
  0.96162968E-02  0.30659837E+03  0.38237999E+01  0.88254418E+00  0.47063441E+01  0.20538599E+09
  0.10356012E-01  0.30755347E+03  0.38357117E+01  0.90604912E+00  0.47417609E+01  0.20538599E+09
  0.11095727E-01  0.29687134E+03  0.37024874E+01  0.91393823E+00  0.46164257E+01  0.20538599E+09
  0.11835442E-01  0.30077752E+03  0.37512041E+01  0.92829472E+00  0.46794989E+01  0.20538599E+09
  0.12575157E-01  0.30056067E+03  0.37484997E+01  0.93743358E+00  0.46859332E+01  0.20538599E+09
  0.13314872E-01  0.30023083E+03  0.37443861E+01  0.91793990E+00  0.46623260E+01  0.20538599E+09
  0.14054588E-01  0.29893856E+03  0.37282693E+01  0.89886739E+00  0.46271367E+01  0.20538599E+09
  0.14794303E-01  0.30099958E+03  0.37539736E+01  0.94422374E+00  0.46981973E+01  0.20538599E+09
  0.15534018E-01  0.30849433E+03  0.38474458E+01  0.92355647E+00  0.47710022E+01  0.20538599E+09
  0.16273733E-01  0.30285670E+03  0.37771350E+01  0.88324205E+00  0.46603771E+01  0.20538599E+09
  0.17013448E-01  0.29708068E+03  0.37050983E+01  0.93200533E+00  0.46371036E+01  0.20538599E+09
  0.17753163E-01  0.30338857E+03  0.37837683E+01  0.91803867E+00  0.47018070E+01  0.20538599E+09
  0.18492878E-01  0.29590804E+03  0.36904735E+01  0.93639360E+00  0.46268672E+01  0.20538599E+09
  0.19232594E-01  0.29740211E+03  0.37091071E+01  0.92645259E+00  0.46355597E+01  0.20538599E+09
  0.19972309E-01  0.29592071E+03  0.36906315E+01  0.90147228E+00  0.45921038E+01  0.20538599E+09
  0.20712024E-01  0.30133032E+03  0.37580985E+01  0.91173078E+00  0.46698293E+01  0.20538599E+09
  0.21451739E-01  0.29701588E+03  0.37042901E+01  0.91236083E+00  0.46166509E+01  0.20538599E+09
  0.22191454E-01  0.30518003E+03  0.38061108E+01  0.91067990E+00  0.47167907E+01  0.20538599E+09
  0.22931169E-01  0.30541926E+03  0.38090945E+01  0.90413778E+00  0.47132323E+01  0.20538599E+09
  0.23670884E-01  0.29745169E+03  0.37097254E+01  0.89563241E+00  0.46053578E+01  0.20538599E+09
  0.24410599E-01  0.29656237E+03  0.36986341E+01  0.93951329E+00  0.46381474E+01  0.20538599E+09
  0.25150315E-01  0.30394073E+03  0.37906547E+01  0.91215608E+00  0.47028108E+01  0.20538599E+09
  0.25890030E-01  0.29948652E+03  0.37351032E+01  0.92158915E+00  0.46566923E+01  0.20538599E+09
  0.26629745E-01  0.29975803E+03  0.37384894E+01  0.88852756E+00  0.46270170E+01  0.20538599E+09
  0.27369460E-01  0.30039578E+03  0.37464432E+01  0.88912232E+00  0.46355656E+01  0.20538599E+09
  0.28109175E-01  0.29705057E+03  0.37047228E+01  0.91264902E+00  0.46173718E+01  0.20538599E+09
  0.28848890E-01  0.30315377E+03  0.37808401E+01  0.90998738E+00  0.46908274E+01  0.20538599E+09
  0.29588605E-01  0.29993934E+03  0.37407506E+01  0.88978800E+00  0.46305386E+01  0.20538599E+09
  0.30328321E-01  0.30427452E+03  0.37948176E+01  0.90596249E+00  0.47007801E+01  0.20538599E+09
  0.31068036E-01  0.30023110E+03  0.37443894E+01  0.90685480E+00  0.46512442E+01  0.20538599E+09
  0.31807751E-01  0.30168958E+03  0.37625791E+01  0.90168708E+00  0.46642661E+01  0.20538599E+09
  0.32547466E-01  0.29989955E+03  0.37402544E+01  0.91280737E+00  0.46530618E+01  0.20538599E+09
  0.33287181E-01  0.29720045E+03  0.37065920E+01  0.93994590E+00  0.46465380E+01  0.20538599E+09
